timestamp,style_group_id,status,parent_id,parent_title,child_ids,child_handles,message
2026-08-27T13:39:42.771Z,MIM-T-blondie-mini-tote-bag,CREATED,gid://shopify/Product/8411978235978,Blondie Mini Tote Bag,gid://shopify/Product/8407688839242|gid://shopify/Product/8407688872010,blondie-mini-tote-bag-60318053|blondie-mini-tote-bag-60318052,
2026-08-27T14:27:20.979Z,MIM-T-blondie-mini-tote-bag,FAILED,gid://shopify/Product/8412021063754,Blondie Mini Tote Bag,,blondie-mini-tote-bag-60318053|blondie-mini-tote-bag-60318052,"HTTP 400: {""errors"":[{""message"":""Invalid variables parameter.""}]}"
2026-09-02T00:22:31.280Z,MIM-T-blondie-mini-tote-bag,FAILED,gid://shopify/Product/8420273160266,Blondie Mini Tote Bag,,blondie-mini-tote-bag-60318053|blondie-mini-tote-bag-60318052,"HTTP 400: {""errors"":[{""message"":""Invalid variables parameter.""}]}"
2026-09-02T00:25:51.942Z,MIM-T-blondie-mini-tote-bag,FAILED,gid://shopify/Product/DRYRUN-MIM-T-blondie-mini-tote-bag,Blondie Mini Tote Bag,,blondie-mini-tote-bag-60318053|blondie-mini-tote-bag-60318052,"HTTP 400: {""errors"":[{""message"":""Invalid variables parameter.""}]}"
2026-09-02T00:43:55.881Z,MIM-T-blondie-mini-tote-bag,FAILED,gid://shopify/Product/DRYRUN-MIM-T-blondie-mini-tote-bag,Blondie Mini Tote Bag,,blondie-mini-tote-bag-60318053|blondie-mini-tote-bag-60318052,"HTTP 400: {""errors"":[{""message"":""Invalid variables parameter.""}]}"
2026-09-02T00:50:24.137Z,MIM-T-blondie-mini-tote-bag,CREATED,gid://shopify/Product/DRYRUN-MIM-T-blondie-mini-tote-bag,Blondie Mini Tote Bag,gid://shopify/Product/8407688839242|gid://shopify/Product/8407688872010,blondie-mini-tote-bag-60318053|blondie-mini-tote-bag-60318052,
2026-09-02T00:50:48.215Z,MIM-T-blondie-mini-tote-bag,CREATED,gid://shopify/Product/8420281745482,Blondie Mini Tote Bag,gid://shopify/Product/8407688839242|gid://shopify/Product/8407688872010,blondie-mini-tote-bag-60318053|blondie-mini-tote-bag-60318052,
2026-09-02T01:14:27.610Z,MIM-T-clique-sterling-silver-necklace,CREATED,gid://shopify/Product/8257044414538,Clique Sterling Silver Necklace,gid://shopify/Product/8256869924938|gid://shopify/Product/8256869761098|gid://shopify/Product/8256870088778,clique-sterling-silver-necklace-60274019-9570|clique-sterling-silver-necklace-60274020-901|clique-sterling-silver-necklace-60274021-908,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/8257044250698|gid://shopify/Product/8257044414538|gid://shopify/Product/8257044578378 REUSED_PARENT=gid://shopify/Product/8257044414538
2026-09-03T06:48:17.240Z,MIM-T-linked-up-huggie-earrings,CREATED,gid://shopify/Product/7986536022106,Linked Up Huggie Earrings,gid://shopify/Product/7986494734426|gid://shopify/Product/7986494799962|gid://shopify/Product/7986494832730,linked-up-huggie-earrings-60323931-8836|linked-up-huggie-earrings-60323932-620|linked-up-huggie-earrings-60323934-433,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986536022106|gid://shopify/Product/7986536185946|gid://shopify/Product/7986536349786 REUSED_PARENT=gid://shopify/Product/7986536022106
2026-09-03T06:48:39.049Z,MIM-T-linked-up-huggie-earrings,CREATED,gid://shopify/Product/7986536022106,Linked Up Huggie Earrings,gid://shopify/Product/7986494734426|gid://shopify/Product/7986494799962|gid://shopify/Product/7986494832730,linked-up-huggie-earrings-60323931-8836|linked-up-huggie-earrings-60323932-620|linked-up-huggie-earrings-60323934-433,CONSOLIDATED_SOURCE_PARENTS=gid://shopify/Product/7986536022106|gid://shopify/Product/7986536185946|gid://shopify/Product/7986536349786 REUSED_PARENT=gid://shopify/Product/7986536022106
